CODIGO,MUNICIPIO,NOMBRE_ESTACION,Coordenada_x,Coordenada_Y,PRECIPITACION,TEMPERATURA,ALTITUD
1605504,Abrego,Abrego Centro Ad,-73.2266111,8.0901667,1144,20.6,1411
2610519,Tulua,Acueducto Tulua,-76.1833333,4.0666667,1278,23.4,1014
2612523,Montenegro,Agrado El,-75.7833333,4.5166667,2078,21.8,1350
2615505,Manizales,Agronomia,-75.4833333,5.05,1910,16.6,2150
2321503,Aguachica,Aguas Claras,-73.606213,8.2315185,1335,28.2,208
3519503,Aguazul,Aguazul,-72.55157,5.17794,2763,26.3,380
2502532,San Sebastian de Buena,Alamos Los,-74.2833333,9.3,1364,28.1,25
2312506,Albania,Albania,-73.9167056,5.7610056,2491,18.6,1690
2308503,Alejandria,Alejandria,-75.1591667,6.3755556,4340,19.4,1660
2804502,El Copey,Algarrobo,-74.0666667,10.15,1133,27.5,60
2110503,Algeciras,Algeciras,-75.3256667,2.5245833,1125,23.2,1155
2102502,Altamira,Altamira,-75.7397222,2.0819167,1092,22.6,1350
1501511,Santa Marta,Alto de Mira,-73.9333333,11.0833333,4611,20.8,1080
2702503,Anori,Anori,-75.15,7.0666667,2674,19.1,1550
2607504,Palmira,Apto A Bonilla A,-76.3888889,3.5361111,908,23.8,989
2403534,Sogamoso,Apto A Lleras C,-72.9666667,5.6833333,727,14.2,2500
2803503,Valledupar,Apto Alfonso Lop,-73.2510556,10.4290278,961,29.1,138
1506501,Riohacha,Apto Alm Padilla,-72.9333333,11.5333333,599,28.2,4
5204502,Chachagui,Apto Antonio Nar,-77.2941667,1.3886111,1253,19.1,1816
3705501,Arauca,Apto Arauca,-70.7381667,7.0693333,1568,27,128
2502510,Magangue,Apto Baracoa,-74.8062385,9.2774608,1051,28.2,18
2111502,Neiva,Apto Benito Sala,-75.2930833,2.9486389,1327,27.6,439
1307504,Cienaga de Oro,Apto Berastegui,-75.6666667,8.8833333,1228,28.3,40
5311501,Buenaventura,Apto Buenaventur,-76.9960833,3.8230194,6276,25.9,14
1601501,Cucuta,Apto Camilo daza,-72.5299444,7.7809444,806,27.6,250
5402502,Condoto,Apto Condoto,-76.6767708,5.073375,6735,25.9,105
2904502,Soledad,Apto E Cortissoz,-74.7744,10.89545,821,27.4,14
1104501,Quibdo,Apto El Cara?o,-76.63939,5.69595,7883,26.5,53
2612506,Armenia,Apto El Eden,-75.7696667,4.4575556,2081,22.1,1247
2120579,Bogota,Apto Eldorado P1,-74.1424167,4.6964722,818,13.5,2547
2610516,Tulua,Apto Farfan,-76.2269944,4.0928056,1255,24,1000
4403502,Florencia,Apto G Artunduag,-75.5597222,1.5891389,3707,25.4,244
2603503,Popayan,Apto G L Valenci,-76.6118981,2.4557778,2132,18.9,1757
