DAP,PAGO,ING,NE,EDAD,HABITA,PERT,IMPOR
No,8000,2500000,Maestría,52,No,No,No
No,1000,300000,Bachiller,54,Si,No,No
Si,3000,620000,PhD,26,Si,No,Si
Si,8000,2500000,PhD,33,Si,No,Si
No,4000,1500000,PhD,25,Si,No,Si
No,3000,800000,PhD,47,Si,No,Si
Si,500,150000,Maestría,35,Si,No,Si
No,5000,1000000,PhD,43,Si,No,No
Si,4000,1150000,Maestría,54,No,No,Si
No,2000,500000,Maestría,30,Si,No,Si
No,500,170000,Maestría,45,Si,No,Si
Si,2000,600000,Maestría,54,Si,No,Si
Si,1000,300000,Maestría,39,No,No,No
Si,2000,300000,Maestría,44,Si,No,Si
Si,3000,800000,Maestría,32,Si,No,Si
No,5000,1000000,PhD,25,Si,No,No
No,4000,1300000,Profesional Universitario,23,Si,Si,Si
Si,5000,2000000,PhD,51,Si,No,Si
No,1000,300000,PhD,45,Si,No,Si
Si,2000,300000,PhD,38,Si,No,Si
Si,3000,600000,Profesional Universitario,47,Si,No,Si
Si,3000,700000,Maestría,23,No,No,No
Si,1000,280000,Maestría,30,Si,Si,Si
Si,1000,300000,Maestría,47,Si,No,No
Si,2000,900000,Profesional Universitario,45,Si,No,Si
Si,2000,400000,Bachiller,32,Si,No,No
Si,3000,770000,PhD,25,Si,Si,Si
Si,2000,700000,PhD,43,Si,No,Si
Si,500,200000,Maestría,33,Si,No,No
Si,1000,220000,Profesional Universitario,38,No,No,No
Si,2000,490000,Maestría,31,Si,No,Si
Si,3000,500000,Maestría,47,Si,No,Si
No,1000,250000,Maestría,28,Si,No,Si
Si,1000,230000,PhD,43,Si,No,No
Si,500,200000,Profesional Universitario,29,No,No,No
Si,500,600000,Profesional Universitario,29,Si,No,Si
Si,500,170000,Profesional Universitario,28,Si,No,Si
Si,500,190000,Profesional Universitario,30,Si,No,Si
Si,4000,600000,Profesional Universitario,52,Si,No,No
Si,4000,450000,Maestría,41,No,Si,No
Si,4000,600000,PhD,44,Si,No,Si
No,8000,3800000,PhD,50,Si,No,Si
Si,5000,800000,Profesional Universitario,54,Si,No,Si
No,1000,250000,Bachiller,25,Si,No,No
Si,5000,1200000,Bachiller,27,Si,No,No
No,8000,350000,Bachiller,35,No,No,No
Si,8000,800000,PhD,40,Si,No,Si
No,8000,830000,PhD,45,Si,No,Si
Si,1000,1500000,Maestría,56,No,No,Si
Si,2000,800000,Maestría,36,Si,No,Si
Si,500,150000,Profesional Universitario,58,Si,Si,Si
Si,1000,1000000,Profesional Universitario,56,No,No,Si
Si,5000,1150000,Maestría,49,No,No,Si
No,1000,500000,Profesional Universitario,65,Si,No,Si
No,500,170000,Profesional Universitario,34,No,No,No
No,1000,600000,Maestría,46,Si,No,Si
Si,1000,500000,PhD,47,Si,No,Si
Si,500,170000,Bachiller,58,Si,No,Si
Si,1000,600000,Profesional Universitario,36,Si,No,Si
No,1000,300000,Bachiller,47,No,No,Si
No,1000,300000,Maestría,48,No,No,Si
Si,1000,800000,Maestría,56,Si,No,Si
Si,3000,1000000,PhD,54,Si,No,Si
No,5000,1300000,PhD,53,No,No,Si
Si,3000,2000000,Maestría,67,No,Si,Si
No,1000,300000,Profesional Universitario,45,No,Si,No
No,1000,300000,Bachiller,32,No,No,Si
No,3000,600000,Profesional Universitario,25,No,No,Si
No,3000,700000,Maestría,23,No,No,Si
No,1000,280000,Bachiller,51,Si,No,Si
No,1000,300000,Profesional Universitario,45,Si,No,No
Si,3000,900000,Profesional Universitario,38,No,No,Si
No,4000,100000,Profesional Universitario,47,Si,No,Si
Si,5000,1150000,Profesional Universitario,23,Si,No,Si
No,1000,500000,Maestría,30,Si,No,Si
Si,500,170000,Maestría,47,Si,No,Si
Si,1000,600000,Profesional Universitario,45,No,No,Si
No,2000,300000,Maestría,32,Si,No,Si
